the_geom,lots_parking,the_geom_webmercator,acres,acs_tooltip,acs_tooltip_2,acs_tooltip_3,area_sqmi,borocd,cb_email,cb_website,cd_full_title,cd_short_title,cd_son_fy2018,cd_tot_bldgs,cd_tot_resunits,count_hosp_clinic,count_libraries,count_parks,count_public_schools,crime_count,crime_count_boro,crime_count_nyc,crime_per_1000,crime_per_1000_boro,crime_per_1000_nyc,female_10_14,female_15_19,female_20_24,female_25_29,female_30_34,female_35_39,female_40_44,female_45_49,female_5_9,female_50_54,female_55_59,female_60_64,female_65_69,female_70_74,female_75_79,female_80_84,female_85_over,female_under_5,fp_100_area,fp_100_bldg,fp_100_cost_burden,fp_100_cost_burden_value,fp_100_mhhi,fp_100_mortg_value,fp_100_openspace,fp_100_ownerocc,fp_100_ownerocc_value,fp_100_permortg,fp_100_pop,fp_100_rent_burden,fp_100_rent_burden_value,fp_100_resunits,fp_500_area,fp_500_bldg,fp_500_cost_burden,fp_500_cost_burden_value,fp_500_mhhi,fp_500_mortg_value,fp_500_openspace,fp_500_ownerocc,fp_500_ownerocc_value,fp_500_permortg,fp_500_pop,fp_500_rent_burden,fp_500_rent_burden_value,fp_500_resunits,lep_rate,lep_rate_boro,lep_rate_nyc,lot_area_commercial_office,lot_area_industrial_manufacturing,lot_area_mixed_use,lot_area_open_space,lot_area_other_no_data,lot_area_parking,lot_area_public_facility_institution,lot_area_res_1_2_family_bldg,lot_area_res_multifamily_elevator,lot_area_res_multifamily_walkup,lot_area_transportation_utility,lot_area_vacant,lots_commercial_office,lots_industrial_manufacturing,lots_mixed_use,lots_open_space,lots_other_no_data,cartodb_id,lots_public_facility_institution,lots_res_1_2_family_bldg,lots_res_multifamily_elevator,lots_res_multifamily_walkup,lots_total,lots_transportation_utility,lots_vacant,male_10_14,male_15_19,male_20_24,male_25_29,male_30_34,male_35_39,male_40_44,male_45_49,male_5_9,male_50_54,male_55_59,male_60_64,male_65_69,male_70_74,male_75_79,male_80_84,male_85_over,male_under_5,mean_commute,mean_commute_boro,mean_commute_nyc,moe_bach_deg,moe_bach_deg_boro,moe_bach_deg_nyc,moe_foreign_born,moe_hh_rent_burd,moe_hh_rent_burd_boro,moe_hh_rent_burd_nyc,moe_lep_rate,moe_lep_rate_boro,moe_lep_rate_nyc,moe_mean_commute,moe_mean_commute_boro,moe_mean_commute_nyc,moe_over65_rate,moe_over65_rate_boro,moe_over65_rate_nyc,moe_poverty_rate,moe_under18_rate,moe_under18_rate_boro,moe_under18_rate_nyc,moe_unemnployment,moe_unemployment_boro,moe_unemployment_cd,neighborhoods,over65_rate,over65_rate_boro,over65_rate_nyc,pct_asian_nh,pct_bach_deg,pct_bach_deg_boro,pct_bach_deg_nyc,pct_black_nh,pct_clean_strts,pct_clean_strts_boro,pct_clean_strts_nyc,pct_foreign_born,pct_hh_rent_burd,pct_hh_rent_burd_boro,pct_hh_rent_burd_nyc,pct_hispanic,pct_other_nh,pct_served_parks,pct_white_nh,pop_2000,pop_2010,pop_acs,pop_change_00_10,poverty_rate,poverty_rate_boro,poverty_rate_nyc,puma,shared_puma,shared_puma_cd,son_issue_1,son_issue_2,son_issue_3,total_lot_area,under18_rate,under18_rate_boro,under18_rate_nyc,unemployment_boro,unemployment_cd,unemployment_nyc
,23,,976.3,"American Community Survey 2013-2017 5-Year Estimates for PUMA 3810, which is an approximation of both Manhattan CD 1 and Manhattan CD 2","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3810, which is an approximation of Manhattan CD 1.",2010 Census population counts for floodplain area within Manhattan CD 1.,1.5,101,man01@cb.nyc.gov,www1.nyc.gov/site/manhattancb1/index.page,Manhattan Community District 1,Manhattan CD 1,http://www1.nyc.gov/assets/planning/download/pdf/community/community-portal/statement_needs/mn01_statement_2018.pdf,1729,39547,7,1,28,22,1099,25961,96515,15.634252,15.7,11.8,1.1,2.4,4.2,7.3,6.6,4.7,3.5,2.9,1.8,2.2,2.3,2.5,2.3,1.7,1,0.7,1.1,2.6,1.78,678,0.284774312,2164,121000,4900,0.041,0.220593358,7599,0.644821687,16733,0.353231684,7367,19061,2.53,1036,0.284528228,2913,118000,6272,0.042,0.241981612,10238,0.612619652,29221,0.350056009,8750,28097,5.8,15.5,23.1,7865158,252207,4271043,1453796,5345624,433550,10274554,45535,1746495,185913,4107387,134060,343,78,578,25,11,1,69,33,167,65,1448,33,23,1.4,1.9,2.5,6,6.7,5.7,3.7,3.3,1.7,2.8,2.5,2.7,1.9,1.2,0.8,0.7,0.7,2.9,25.2,31.8,40.8,1,0.3,0.2,1.1,1.6,0.5,0.3,0.6,0.3,0.1,0.5,0.2,0.1,0.7,0.1,0.1,0.7,0.6,0.1,0.1,0.1,0.2,0.3,"Battery Park City, Civic Center, Ellis Island, Governors Island, Liberty Island, South Street Seaport, Tribeca, Wall Street, World Trade Center",12.2,15.3,13.6,15.7,82.3,60.7,36.7,2.3,95.4,94.1,95.1,23.9,31,36.9,44.5,6.4,3.2,100,72,34420,60978,,0.77,8.8,14.4,19.8,3810,true,Manhattan CD 2,Resiliency,Traffic,Other,36115322,12.8,14.5,21,4.2,2.8,4.9
,52,,865.9,"American Community Survey 2013-2017 5-Year Estimates for PUMA 3810, which is an approximation of both Manhattan CD 2 and Manhattan CD 1","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3810, which is an approximation of Manhattan CD 2.",2010 Census population counts for floodplain area within Manhattan CD 2.,1.4,102,bgormley@cb.nyc.gov,www.nyc.gov/html/mancb2,Manhattan Community District 2,Manhattan CD 2,http://www1.nyc.gov/assets/planning/download/pdf/community/community-portal/statement_needs/mn02_statement_2018.pdf,5360,60146,14,4,16,11,2353,25961,96515,25.876288,15.7,11.8,1.1,2.4,4.2,7.3,6.6,4.7,3.5,2.9,1.8,2.2,2.3,2.5,2.3,1.7,1,0.7,1.1,2.6,0.25,346,0.284774312,2164,121000,4900,0.001,0.220593358,7599,0.644821687,5038,0.353231684,7367,4490,0.39,777,0.284528228,2913,118000,6272,0.001,0.241981612,10238,0.612619652,10198,0.350056009,8750,7620,5.8,15.5,23.1,4350553,644242,6288962,846180,132080,347473,2232810,1025372,3485056,2420855,2731028,1191821,558,115,1703,28,17,2,174,623,442,924,4699,23,40,1.4,1.9,2.5,6,6.7,5.7,3.7,3.3,1.7,2.8,2.5,2.7,1.9,1.2,0.8,0.7,0.7,2.9,25.2,31.8,40.8,1,0.3,0.2,1.1,1.6,0.5,0.3,0.6,0.3,0.1,0.5,0.2,0.1,0.7,0.1,0.1,0.7,0.6,0.1,0.1,0.1,0.2,0.3,"Greenwich Village, Hudson Square, Little Italy, NoHo, SoHo, South Village, West Village",12.2,15.3,13.6,15.7,82.3,60.7,36.7,2.3,96.3,94.1,95.1,23.9,31,36.9,44.5,6.4,3.2,100,72,93119,90016,,-0.03,8.8,14.4,19.8,3810,true,Manhattan CD 1,Affordable housing,Parks,Schools,25696432,12.8,14.5,21,4.2,2.8,4.9
,57,,1076.9,"American Community Survey 2013-2017 5-Year Estimates for PUMA 3809, which is an approximation of Manhattan CD 3","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3809, which is an approximation of Manhattan CD 3.",2010 Census population counts for floodplain area within Manhattan CD 3.,1.7,103,info@cb3manhattan.org,www.nyc.gov/html/mancb3,Manhattan Community District 3,Manhattan CD 3,http://www1.nyc.gov/assets/planning/download/pdf/community/community-portal/statement_needs/mn03_statement_2018.pdf,4680,79856,34,5,39,46,2375,25961,96515,14.953955,15.7,11.8,1.5,3,3.8,6.3,4.4,3.5,2.9,3.2,1.2,2.9,3,3.5,2.8,2.2,1.7,1.4,2,1.6,0.53,495,0.155306299,360,18000,932,0.121,0.111996908,2318,0.402070751,32294,0.463410483,8169,21052,0.94,819,0.161082474,500,21000,1315,0.149,0.106890733,3104,0.423646907,47273,0.458434026,11382,27544,29.4,15.5,23.1,1262797,370317,8706820,5568872,34365,316724,3504544,95111,7995555,2696581,1562428,1577938,278,103,2024,124,6,3,277,65,254,928,4234,30,88,1.7,2.6,3.7,6.5,5.5,4.2,3,3.3,1.8,3.1,2.7,2.5,2,1.9,1.1,1,0.9,1.6,31.5,31.8,40.8,1.4,0.3,0.2,1.2,1.7,0.5,0.3,1.3,0.3,0.1,0.8,0.2,0.1,0.7,0.1,0.1,1.1,0.7,0.1,0.1,0.1,0.2,0.5,"Chinatown, East Village, Lower East Side, NoHo, Two Bridges",17,15.3,13.6,32.1,43,60.7,36.7,7.4,91,94.1,95.1,34.9,38.5,36.9,44.5,25.1,3.1,100,32.7,164407,163277,159652,-0.01,19.3,14.4,19.8,3809,false,,Affordable housing,Senior services,Other,33692052,11.7,14.5,21,4.2,4.1,4.9
,77,,1131.6,"American Community Survey 2013-2017 5-Year Estimates for PUMA 3807, which is an approximation of both Manhattan CD 4 and Manhattan CD 5","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3807, which is an approximation of Manhattan CD 4.",2010 Census population counts for floodplain area within Manhattan CD 4.,1.8,104,jbodine@cb.nyc.gov,www.nyc.gov/mcb4,Manhattan Community District 4,Manhattan CD 4,http://www1.nyc.gov/assets/planning/download/pdf/community/community-portal/statement_needs/mn04_statement_2018.pdf,3925,85030,25,2,23,30,2462,25961,96515,20.731942,15.7,11.8,1.1,1.7,4.4,7.4,6.1,3.7,2.8,2.5,0.9,2.5,2.8,2.6,2.2,1.9,1.4,0.7,0.9,1.7,0.57,377,0.244212099,327,105000,907,0.007,0.086037396,1339,0.677371173,2957,0.423210211,5007,10209,0.86,600,0.246236559,458,103000,1229,0.022,0.10180624,1860,0.660752688,9609,0.434896783,5962,17213,9.6,15.5,23.1,5177424,1210626,6805740,827018,32816,1122007,3839650,278552,4765298,2503410,9145958,2468769,430,126,983,21,6,4,166,161,313,961,3410,89,77,0.6,1,3.7,7,7.7,5,5.2,3.9,1.3,3.6,3.6,3,2.4,1.3,1.1,0.6,0.4,1.5,26.6,31.8,40.8,1.2,0.3,0.2,1.1,1.8,0.5,0.3,0.8,0.3,0.1,0.5,0.2,0.1,0.6,0.1,0.1,0.8,0.8,0.1,0.1,0.1,0.2,0.5,"Chelsea, Clinton, Hudson Yards",12.9,15.3,13.6,16.6,74.4,60.7,36.7,6,95.6,94.1,95.1,29.4,33.8,36.9,44.5,15.1,2.8,94,59.3,87479,103245,,0.18,11.3,14.4,19.8,3807,true,Manhattan CD 5,Affordable housing,Neighborhood preservation (development trends),Traffic,38177268,8.2,14.5,21,4.2,3.7,4.9
,39,,1005.4,"American Community Survey 2013-2017 5-Year Estimates for PUMA 3807, which is an approximation of both Manhattan CD 5 and Manhattan CD 4","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3807, which is an approximation of Manhattan CD 5.",2010 Census population counts for floodplain area within Manhattan CD 5.,1.6,105,office@cb5.org,www.cb5.org,Manhattan Community District 5,Manhattan CD 5,http://www1.nyc.gov/assets/planning/download/pdf/community/community-portal/statement_needs/mn05_statement_2018.pdf,3207,45268,17,7,10,15,4600,25961,96515,87.226379,15.7,11.8,1.1,1.7,4.4,7.4,6.1,3.7,2.8,2.5,0.9,2.5,2.8,2.6,2.2,1.9,1.4,0.7,0.9,1.7,0,0,0,327,,907,0,0,1339,0,0,0,5007,0,0,0,0,458,,1229,0,0,1860,0,0,0,5962,0,9.6,15.5,23.1,18157447,679097,3906443,428912,61079,279838,1842831,24484,1534501,191188,803564,283238,1565,134,730,6,8,5,112,15,187,77,2982,22,87,0.6,1,3.7,7,7.7,5,5.2,3.9,1.3,3.6,3.6,3,2.4,1.3,1.1,0.6,0.4,1.5,26.6,31.8,40.8,1.2,0.3,0.2,1.1,1.8,0.5,0.3,0.8,0.3,0.1,0.5,0.2,0.1,0.6,0.1,0.1,0.8,0.8,0.1,0.1,0.1,0.2,0.5,"Flatiron, Gramercy Park, Herald Square, Midtown, Midtown South, Murray Hill, Times Square, Union Square",12.9,15.3,13.6,16.6,74.4,60.7,36.7,6,94.4,94.1,95.1,29.4,33.8,36.9,44.5,15.1,2.8,95,59.3,44028,51673,,0.17,11.3,14.4,19.8,3807,true,Manhattan CD 4,Affordable housing,Social services (including services for the homeless),Transit (buses & subways),28192622,8.2,14.5,21,4.2,3.7,4.9
,22,,888.5,"American Community Survey 2013-2017 5-Year Estimates for PUMA 3808, which is an approximation of Manhattan CD 6","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3808, which is an approximation of Manhattan CD 6.",2010 Census population counts for floodplain area within Manhattan CD 6.,1.4,106,office@cbsix.org,www.cbsix.org,Manhattan Community District 6,Manhattan CD 6,http://www1.nyc.gov/assets/planning/download/pdf/community/community-portal/statement_needs/mn06_statement_2018.pdf,3098,99158,43,3,18,17,1605,25961,96515,11.039954,15.7,11.8,0.8,2.1,5.2,8.8,5.6,3.5,3.3,2.6,1.1,2.9,2.8,3,3.1,2.8,1.8,1.3,1.7,1.7,0.33,160,0.193096009,358,92000,758,0.012,0.160228157,1854,0.408845739,9455,0.408417025,3416,18432,0.57,222,0.176162791,303,88000,649,0.014,0.122280677,1720,0.377325581,14084,0.441384309,4872,20058,6.1,15.5,23.1,3642409,11355,8896434,854143,52544,159738,4266342,437301,4269990,1151423,1371679,592565,318,3,947,35,2,6,208,259,417,499,2791,37,44,1.1,1.2,3.8,7.3,5.4,3.4,2.5,2.6,1.1,2.8,2.9,2.3,2.5,1.7,1.4,1.1,0.9,1.9,26.4,31.8,40.8,1.2,0.3,0.2,1.4,2.1,0.5,0.3,0.8,0.3,0.1,0.6,0.2,0.1,0.9,0.1,0.1,0.9,0.8,0.1,0.1,0.1,0.2,0.4,"Beekman Place, Gramercy Park, Murray Hill, Peter Cooper Village, Stuyvesant Town, Sutton Place, Tudor City, Turtle Bay",18.3,15.3,13.6,15.8,79.4,60.7,36.7,3.3,96.5,94.1,95.1,22.3,34.9,36.9,44.5,9,2.9,91,68.7,136152,142745,148802,0.05,9.8,14.4,19.8,3808,false,,Affordable housing,Parks,Senior services,25705923,8.7,14.5,21,4.2,2.4,4.9
,19,,1220.2,"American Community Survey 2013-2017 5-Year Estimates for PUMA 3806, which is an approximation of Manhattan CD 7","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3806, which is an approximation of Manhattan CD 7.",2010 Census population counts for floodplain area within Manhattan CD 7.,1.9,107,office@cb7.org,www.nyc.gov/mcb7,Manhattan Community District 7,Manhattan CD 7,http://www1.nyc.gov/assets/planning/download/pdf/community/community-portal/statement_needs/mn07_statement_2018.pdf,4749,126221,14,5,13,38,1966,25961,96515,9.673488,15.7,11.8,2.1,1.5,2.3,5,4.9,4.5,4.1,3.6,2.2,3.7,3.6,3.7,3.6,3,1.6,1.3,1.8,2.8,0.28,6,0.170514004,554,87000,1777,0.176,0.29466715,3249,0.546937519,1436,0.375219993,2132,3099,0.66,6,0.175084175,572,88000,1777,0.18,0.274192195,3267,0.543924089,1436,0.368951931,2341,3099,8.9,15.5,23.1,1465505,35212,7343273,10449053,2240,123010,4072451,854421,9703002,4372881,2992812,23467045,122,5,781,36,1,7,208,469,795,1927,4419,12,44,1.6,1.4,1.2,3.7,4.4,3.2,3.5,3.4,1.8,3.3,3.1,3,2.6,2.5,1.1,0.8,1.3,2.8,31.7,31.8,40.8,1.1,0.3,0.2,1.1,1.9,0.5,0.3,0.8,0.3,0.1,0.7,0.2,0.1,0.7,0.1,0.1,0.8,0.7,0.1,0.1,0.1,0.2,0.4,"Lincoln Square, Manhattan Valley, Upper West Side",19.6,15.3,13.6,9.4,76.6,60.7,36.7,5.6,97,94.1,95.1,23,32.8,36.9,44.5,15,2.6,100,67.3,207699,209084,195455,0.01,9.2,14.4,19.8,3806,false,,Affordable housing,Schools,Social services (including services for the homeless),64880905,15.1,14.5,21,4.2,3.4,4.9
,29,,1266.3,"American Community Survey 2013-2017 5-Year Estimates for PUMA 3805, which is an approximation of Manhattan CD 8","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3805, which is an approximation of Manhattan CD 8.",2010 Census population counts for floodplain area within Manhattan CD 8.,2,108,info@cb8m.com,www.cb8m.com,Manhattan Community District 8,Manhattan CD 8,http://www1.nyc.gov/assets/planning/download/pdf/community/community-portal/statement_needs/mn08_statement_2018.pdf,6015,150169,38,5,23,25,1937,25961,96515,8.826581,15.7,11.8,1.6,1.1,2.1,7.4,6.8,4.5,3.3,3.2,2.4,3.3,3,3.1,3.4,2.8,2.3,1.6,1.9,2.7,0.32,178,0.279594506,855,72000,1558,0.044,0.193691411,3058,0.509483322,7223,0.473200613,5253,15606,0.63,264,0.248793566,928,73000,1912,0.044,0.214109408,3730,0.512600536,10647,0.472915092,5631,20696,5.5,15.5,23.1,1552752,131100,8598079,981476,69666,227825,5040361,2061535,13964851,3414242,988202,484015,258,21,1612,8,10,8,299,1046,953,1195,5519,41,47,1.7,1.2,1.6,3.9,4.5,4,2.8,3.1,1.7,2.8,2.4,2.4,2.3,2,1.6,1.2,1.2,3,31,31.8,40.8,1,0.3,0.2,1.4,2.1,0.5,0.3,0.7,0.3,0.1,0.7,0.2,0.1,0.7,0.1,0.1,0.6,0.8,0.1,0.1,0.1,0.2,0.3,"Carnegie Hill, Lenox Hill, Roosevelt Island, Upper East Side, Yorkville",20.2,15.3,13.6,9.8,81.1,60.7,36.7,2.4,97.2,94.1,95.1,23.2,33.4,36.9,44.5,9.5,2.8,95,75.6,217063,219920,222517,0.01,7.2,14.4,19.8,3805,false,,Affordable housing,Parks,Schools,37514104,14.8,14.5,21,4.2,2.1,4.9
,32,,961.7,"American Community Survey 2013-2017 5-Year Estimates for PUMA 3802, which is an approximation of Manhattan CD 9","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3802, which is an approximation of Manhattan CD 9.",2010 Census population counts for floodplain area within Manhattan CD 9.,1.5,109,nyc-cb9m@juno.com,www.cb9m.org,Manhattan Community District 9,Manhattan CD 9,http://www1.nyc.gov/assets/planning/download/pdf/community/community-portal/statement_needs/mn09_statement_2018.pdf,2610,45456,14,5,14,20,1263,25961,96515,9.408571,15.7,11.8,2,3.7,6.5,6,4.5,3.2,2.6,3.2,2.1,3.3,2.4,2.6,2.1,1.9,1.4,1.1,1.2,2.1,0.11,30,0.16171955,158,32000,625,0.099,0.11920449,977,0.639713408,0,0.515575141,3393,0,0.21,38,0.159090909,182,34000,691,0.201,0.125411094,1144,0.604020979,0,0.531173093,3885,42,19.9,15.5,23.1,707238,198710,2376027,3315364,922629,241911,6017727,632686,4948614,2776049,1003615,999191,74,19,327,17,3,9,194,379,372,938,2463,23,85,2.4,3.3,6.1,6.5,4.5,3.5,2.6,3.2,2.1,2.8,2.5,2.2,1.4,1,0.8,0.7,0.6,2.2,36.7,31.8,40.8,1.6,0.3,0.2,1.4,2.1,0.5,0.3,1.4,0.3,0.1,0.9,0.2,0.1,0.8,0.1,0.1,1.4,0.8,0.1,0.1,0.1,0.2,0.5,"Hamilton Heights, Manhattanville, Morningside Heights, West Harlem",12.2,15.3,13.6,8.4,45.1,60.7,36.7,21.6,93.6,94.1,95.1,33.7,44.6,36.9,44.5,38,3.7,100,28.5,111724,110193,131494,-0.01,20.7,14.4,19.8,3802,false,,Affordable housing,Crime,Unemployment,24139761,15.4,14.5,21,4.2,4.1,4.9
,28,,897.1,"American Community Survey 2013-2017 5-Year Estimates for PUMA 3803, which is an approximation of Manhattan CD 10","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3803, which is an approximation of Manhattan CD 10.",2010 Census population counts for floodplain area within Manhattan CD 10.,1.4,110,MN10CB@cb.nyc.gov,www.nyc.gov/html/mancb10,Manhattan Community District 10,Manhattan CD 10,http://www1.nyc.gov/assets/planning/download/pdf/community/community-portal/statement_needs/mn10_statement_2018.pdf,4621,59816,33,7,13,28,1952,25961,96515,15.755434,15.7,11.8,2.6,2.6,3.9,5.9,5.6,4.1,3.3,3.5,2.7,3.6,3.2,2.7,1.9,1.6,0.8,0.9,1.2,3.7,0.14,45,0.108108108,60,25000,41,0.016,0.125936011,555,0.073873874,2372,0.457237753,1652,5576,0.31,112,0.158878505,102,25000,103,0.017,0.096847187,642,0.160436137,7880,0.506407974,2845,7669,11,15.5,23.1,1224318,178098,5831644,2455682,22244,170572,3697724,1018078,5679959,5159912,150826,912281,114,17,708,60,5,10,278,597,303,2028,4342,11,193,2.5,2.2,4.2,4.9,4.4,3.1,3.5,3.1,2.5,3.8,2.5,2.2,1.5,0.9,0.8,0.3,0.4,3.6,36.6,31.8,40.8,1.4,0.3,0.2,1.2,1.8,0.5,0.3,0.9,0.3,0.1,0.7,0.2,0.1,0.5,0.1,0.1,1.2,0.9,0.1,0.1,0.1,0.2,0.6,Central Harlem,10.2,15.3,13.6,3.4,37.6,60.7,36.7,56.1,91.3,94.1,95.1,23.3,39.5,36.9,44.5,23.5,3.2,99,14,107109,115723,138401,0.08,20.2,14.4,19.8,3803,false,,Affordable housing,"Commercial development (retail mix, small business and MWBE support, etc.)",Trash removal & cleanliness,26501338,20.3,14.5,21,4.2,6.9,4.9
