Address,BBL,BIN,CouncilDist,DropOff_SiteName,Latitude,Longitude,NTAName,Number,ObjectId,Street,Zipcode,boroCD,ct2010,point,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
1100 FULTON ST,3020160000,3251640,36,GOODWILL THRIFT SHOP,40.68112,-73.95699,Clinton Hill,1100,57,FULTON ST,11238,303,227,POINT (-73.956988 40.68111899999999),13829,69,2,49,51
610 EXTERIOR ST,2023570000,2119100,8,BEST BUY - BRONX TERMINAL NY�(STORE 1172),40.82194,-73.93011,West Concourse,610,42,EXTERIOR ST,10451,204,63,POINT (-73.9301166 40.8219403),10929,50,5,35,27
14815 ARCHER AVE,4099960000,4213986,27,SALVATION ARMY THRIFT STORE,40.70127,-73.80556,Jamaica,14815,92,ARCHER AVE,11435,412,212,POINT (-73.805563 40.701269999999994),24670,41,3,6,61
512 181 ST,1021520000,1063615,10,GOODWILL THRIFT SHOP - WASHINGTON HTS STORE,40.84829,-73.932,Washington Heights North,512,37,181 ST,10033,112,269,POINT (-73.931997 40.848288999999994),13091,47,4,39,22
1280 LEXINGTON AVE,1015158000,1047955,4,STAPLES,40.77989,-73.9557,Upper East Side-Carnegie Hill,1280,32,LEXINGTON AVE,10028,108,14802,POINT (-73.9557037 40.77988719999999),10099,23,4,51,11
5102 AVE U,3084700000,3238574,46,BEST BUY - KINGS PLAZA NY�(STORE 1520),40.60982,-73.92162,Georgetown-Marine Park-Bergen Beach-Mill Basin,5102,70,AVE U,11234,318,698,POINT (-73.9216133 40.6098192),13825,5,2,8,38
6135 JUNCTION BLVD,4020807000,4615634,29,STAPLES,40.73333,-73.86357,Rego Park,6135,84,JUNCTION BLVD,11374,406,71702,POINT (-73.8635717 40.73333039999999),14785,40,3,28,70
425 PARK AVE,1013100000,1036505,4,STAPLES,40.76044,-73.97104,Turtle Bay-East Midtown,425,18,PARK AVE,10022,105,100,POINT (-73.9710375 40.760440800000005),12419,11,4,51,10
769 BROADWAY,1005607000,1009092,2,STAPLES,40.73114,-73.99235,West Village,769,5,BROADWAY,10003,102,59,POINT (-73.9923455 40.7311383),11724,57,4,50,3
1065 6 AVE,1009930000,1022565,4,STAPLES,40.75393,-73.98541,Midtown-Midtown South,1065,17,6 AVE,10018,105,113,POINT (-73.9854091 40.753925699999996),12080,11,4,51,8
19-36 38TH ST,4008110000,4436967,22,GREENCHIP INC,40.77805,-73.90105,Steinway,19-36,74,38TH ST,11105,401,12301,POINT (-73.901046 40.778048),16862,39,3,4,72
268 W 96 ST,1012430000,1033710,6,SALVATION ARMY THRIFT STORE,40.79476,-73.97279,Upper West Side,268,28,W 96 ST,10025,107,183,POINT (-73.972784 40.794759),12422,20,4,19,15
212 E 23 ST,1009030000,1019662,2,SALVATION ARMY THRIFT STORE,40.73837,-73.98244,Gramercy,212,22,E 23 ST,10010,106,64,POINT (-73.9824462 40.738364999999995),12073,71,4,50,7
5812 QUEENS BLVD,4023138000,4454475,26,STAPLES,40.74119,-73.90701,Woodside,5812,80,QUEENS BLVD,11377,402,245,POINT (-73.9070126 40.74118789999999),14787,53,3,33,66
13107 40 RD,4050668000,4534020,20,BEST BUY - FLUSHING NY�(STORE 1115),40.75753,-73.83569,Flushing,13107,87,40 RD,11354,407,871,POINT (-73.8356912 40.757528099999995),13832,22,3,3,67
2892 OCEAN AVE,3074210000,3203148,48,STAPLES,40.59087,-73.95033,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,2892,69,OCEAN AVE,11235,315,592,POINT (-73.9503307 40.590873599999995),13826,32,2,15,36
2040 WHITE PLAINS RD,2042847000,2114768,15,STAPLES,40.85186,-73.86744,Van Nest-Morris Park-Westchester Square,2040,48,WHITE PLAINS RD,10462,211,230,POINT (-73.86743860000001 40.85186159999999),11271,59,5,12,32
5-9 UNION SQUARE W,1008420000,1016064,2,STAPLES,40.73545,-73.99158,Hudson Yards-Chelsea-Flatiron-Union Square,9-May,13,UNION SQUARE W,10003,105,52,POINT (-73.9915753 40.73544979999999),11724,11,4,50,7
2535 RICHMOND AVE,5024000000,5132232,51,STAPLES,40.57428,-74.16944,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,2535,96,RICHMOND AVE,10314,502,27702,POINT (-74.1694432 40.574278499999984),10700,30,1,9,75
