Address,BBL,BIN,BoroCD,Borough,CT2010,CouncilDistrict,Items_Accepted,Latitude,Longitude,NTAName,Nonprofit_Organization,Number,ObjectId,Operations_Type,Public_Email,Public_Phone,Street,Unit,Vendor_Name,Website,point,zipcode,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
606 E 89 St,3079930000,3224082,318,Brooklyn,964,46,"Clothing, Shoes, Accessories, Coats, Bedding And Linens",40.6424,-73.90993,Canarsie,TRUE,606,312,Nonprofit Organizations/Thrift Stores,N/A,718-272-5150,E 89 St,,Christian Church Of Canarsie,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=3461&BId=3438,POINT (-73.909932 40.642403),11236,13827,5,2,8,42
1133 Ogden Ave,2025260000,2088158,204,Bronx,199,16,"Clothing, Shoes",40.83659,-73.9278,Highbridge,FALSE,1133,554,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Ogden Ave,,Usagain LLC,http://www.usagain.com/,POINT (-73.927801 40.836595),10452,10930,50,5,42,27
10 Cebra Ave,5001150000,5002741,501,Staten Island,75,49,"Clothing, Shoes",40.63412,-74.08648,New Brighton-Silver Lake,TRUE,10,1121,Publicly Accessible Donation Bins,info@planetaid.org,973-882-7956,Cebra Ave,,Planet Aid,http://www.planetaid.org/,POINT (-74.086477 40.63412199999999),10301,10369,4,1,13,74
1169 Bay St,5028290000,5107418,501,Staten Island,6,49,"Clothing, Shoes, Accessories",40.61481,-74.06644,Stapleton-Rosebank,FALSE,1169,625,Publicly Accessible Donation Bins,�support@communityrecycling.biz,800-336-0141,Bay St,,Community Recycling LLC,https://www.communityrecycling.biz/,POINT (-74.066443 40.614809),10305,10692,4,1,13,74
137-42 Guy R Brewer Blvd,4123090000,4266757,412,Queens,294,28,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.67093,-73.77412,Springfield Gardens North,FALSE,137-42,896,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Guy R Brewer Blvd,,Helpsy,https://www.helpsy.co/,POINT (-73.774124 40.670926),11434,24669,41,3,46,71
4844 Hylan Blvd,5063980000,5082010,503,Staten Island,176,51,"Clothing, Shoes, Coats, Accessories, Bedding, Towels, Other",40.52655,-74.16738,Annadale-Huguenot-Prince's Bay-Eltingville,FALSE,4844,85,Publicly Accessible Donation Bins,info@recyclingtech.com,(888) 243-3273,Hylan Blvd,,American Recycling Technologies Inc.,http://www.americanrecyclingtech.com/,POINT (-74.167381 40.526554),10312,10699,15,1,9,77
611 Grand Concourse,2023480000,2001076,204,Bronx,63,8,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.82045,-73.92674,West Concourse,FALSE,611,1042,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Grand Concourse,,Helpsy,https://www.helpsy.co/,POINT (-73.926739 40.82045500000001),10451,10929,50,5,35,27
50-15 Roosevelt Ave,4013190000,4030851,402,Queens,25302,26,"Clothing, Shoes, Coats, Towels",40.74403,-73.91456,Hunters Point-Sunnyside-West Maspeth,TRUE,50-15,833,Publicly Accessible Donation Bins,N/A,866-931-0232,Roosevelt Ave,,Carecycle Inc,carecyclecares.com/,POINT (-73.914562 40.74403),11377,14787,53,3,33,66
77-00 Queens Blvd,4024520000,4056456,404,Queens,479,25,"Clothing, Shoes, Accessories",40.73808,-73.8861,Elmhurst-Maspeth,FALSE,77-00,641,Publicly Accessible Donation Bins,�support@communityrecycling.biz,800-336-0141,Queens Blvd,,Community Recycling LLC,https://www.communityrecycling.biz/,POINT (-73.886102 40.738083),11373,14784,66,3,5,68
1809 Utica Ave,3077980000,3216426,318,Brooklyn,730,46,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.62799,-73.92747,Flatlands,FALSE,1809,1006,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Utica Ave,,Helpsy,https://www.helpsy.co/,POINT (-73.927472 40.62798999999998),11234,13825,5,2,8,38
82-10 Queens Blvd,4024750000,4437425,404,Queens,479,25,"Clothing, Shoes, Coats",40.73695,-73.88116,Elmhurst-Maspeth,TRUE,Oct-82,347,Nonprofit Organizations/Thrift Stores,N/A,718-424-0122,Queens Blvd,,New Life Community Development Corporation,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=3406&BId=3370,POINT (-73.881164 40.736945999999996),11373,14784,66,3,5,68
349 E 149 St,2023318000,2000933,201,Bronx,65,17,"Clothing, Shoes, Accessories, Coats",40.81686,-73.91968,Melrose South-Mott Haven North,TRUE,349,148,Nonprofit Organizations/Thrift Stores,N/A,212-362-4020,E 149 St,,"Directions for Our Youth, Inc.",https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=3566&BId=3550,POINT (-73.919678 40.816862),10451,10929,49,5,43,23
292 Neptune Ave,3086640000,3244404,313,Brooklyn,364,48,"Clothing, Shoes, Coats, Accessories, Bedding, Towels",40.58115,-73.96376,Brighton Beach,FALSE,292,750,Publicly Accessible Donation Bins,�info@spingreen.com,800-584-0460,Neptune Ave,,"Spin Green, LLC",http://www.spingreen.com/,POINT (-73.963757 40.581150999999984),11235,13826,21,2,15,35
1640 Flatbush Ave,3075770000,3206445,314,Brooklyn,774,45,"Clothing, Shoes, Coats, Accessories, Bedding, Towels, Other",40.63036,-73.94542,Flatbush,FALSE,1640,98,Publicly Accessible Donation Bins,info@recyclingtech.com,(888) 243-3273,Flatbush Ave,,American Recycling Technologies Inc.,http://www.americanrecyclingtech.com/,POINT (-73.94541900000002 40.63036399999999),11210,17217,60,2,26,43
64-01 Woodhaven Blvd,4031360000,4073962,406,Queens,69702,29,"Clothing, Shoes",40.72147,-73.86594,Rego Park,FALSE,Jan-64,473,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Woodhaven Blvd,,Usagain LLC,http://www.usagain.com/,POINT (-73.865941 40.721465),11374,14785,40,3,28,70
99 Stockholm St,3032430000,3073773,304,Brooklyn,421,34,"Clothing, Shoes, Coats",40.69761,-73.92499,Bushwick South,TRUE,99,365,Nonprofit Organizations/Thrift Stores,N/A,718-574-2200,Stockholm St,,Stockholm Family Shelter,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=3812&BId=3807,POINT (-73.924984 40.697613999999994),11221,18181,42,2,30,53
2064 Mill Ave,3084040000,3236847,318,Brooklyn,686,46,"Clothing, Shoes, Coats, Towels",40.6154,-73.91435,Georgetown-Marine Park-Bergen Beach-Mill Basin,TRUE,2064,845,Publicly Accessible Donation Bins,N/A,866-931-0232,Mill Ave,,Carecycle Inc,carecyclecares.com/,POINT (-73.914351 40.615402),11234,13825,5,2,8,38
