MONTH,BOROUGH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,RESORGANICSTONS,SCHOOLORGANICTONS,LEAVESORGANICTONS,XMASTREETONS,BOROUGH_ID,year,total_recycled,percent_recycled,borough_code
2012-03-01,Manhattan,1,1194.4,341.6,210.8,,,,,1,2012,552.4000000000001,0.46249162759544543,101
2012-01-01,Brooklyn,7,3156.7,436.6,343.4,,,,20.1,3,2012,780.0,0.2470934837013337,307
2016-11-01,Brooklyn,7,3356.9,424.4,380.3,120.1,,2.5,,3,2016,804.7,0.23971521344097232,307
2013-11-01,Brooklyn,7,3179.2,398.7,318.3,57.5,,,,3,2013,717.0,0.22552843482637142,307
2010-12-01,Brooklyn,7,2514.9,367.6,275.5,,,,,3,2010,643.1,0.255715933039087,307
2012-10-01,Brooklyn,7,3287.2,387.9,285.8,,,,,3,2012,673.7,0.20494645899245562,307
2013-10-01,Brooklyn,7,3341.4,414.6,319.1,38.2,,,,3,2013,733.7,0.21957861974022866,307
2012-04-01,Brooklyn,7,3129.2,390.2,280.4,,,,,3,2012,670.5999999999999,0.2143039754569858,307
2011-11-01,Brooklyn,7,3465.7,407.7,288.1,,,,,3,2011,695.8,0.20076752171278528,307
2009-11-01,Brooklyn,7,3211.7,399.6,302.8,,,,,3,2009,702.4000000000001,0.21870037674751694,307
2016-09-01,Brooklyn,7,3204.6,418.8,392.7,77.7,,,,3,2016,811.5,0.25322973225987644,307
2015-07-01,Brooklyn,7,3467.6,424.4,387.5,91.9,,,,3,2015,811.9,0.23413888568462338,307
2015-10-01,Brooklyn,7,3334.6,423.9,383.5,84.7,,,,3,2015,807.4,0.24212799136328195,307
2018-07-01,Brooklyn,7,3375.8,424.6,395.0,79.0,,,,3,2018,819.6,0.2427868949582321,307
2019-10-01,Brooklyn,7,3342.5,419.9,416.4,79.9,118.9,,,3,2019,836.3,0.2502019446522064,307
2019-08-01,Brooklyn,7,3263.2,399.4,408.1,69.7,,,,3,2019,807.5,0.24745648443245896,307
2013-01-01,Staten Island,3,5241.2,987.3,629.8,,,,64.3,5,2013,1617.1,0.30853621308097384,503
2012-01-01,Staten Island,3,5004.3,862.1,615.6,,,,50.0,5,2012,1477.7,0.29528605399356556,503
2015-05-01,Staten Island,3,6531.7,761.4,659.8,,27.3,,,5,2015,1421.1999999999998,0.2175850084970222,503
2014-10-01,Staten Island,3,5717.0,862.6,610.3,,,,,5,2014,1472.9,0.25763512331642474,503
2010-07-01,Staten Island,3,5926.9,883.3,699.8,,,,,5,2010,1583.1,0.2671042197438796,503
2013-05-01,Staten Island,3,6889.9,825.3,676.6,,,,,5,2013,1501.9,0.21798574725322575,503
2011-12-01,Staten Island,3,5701.7,1185.0,642.7,,,,,5,2011,1827.7,0.32055351912587476,503
2013-03-01,Staten Island,3,4888.2,777.7,529.7,,,,,5,2013,1307.4,0.26746041487664174,503
2009-11-01,Staten Island,3,6250.8,889.5,535.1,,,,,5,2009,1424.6,0.22790682792602546,503
2014-03-01,Staten Island,3,4964.7,740.0,539.5,,,,,5,2014,1279.5,0.2577194996676536,503
2014-08-01,Staten Island,3,5525.2,739.3,638.3,,,,,5,2014,1377.6,0.24933034098313184,503
2016-02-01,Staten Island,3,4428.3,807.4,618.6,,21.9,,,5,2016,1426.0,0.3220197366935393,503
2017-10-01,Staten Island,3,5549.6,710.6,643.8,,36.3,18.9,,5,2017,1354.4,0.24405362548652154,503
2017-12-01,Staten Island,3,5442.1,944.2,692.6,,28.0,12.9,,5,2017,1636.8000000000002,0.3007662483232576,503
2018-11-01,Staten Island,3,5757.3,845.8,713.4,,30.9,489.4,,5,2018,1559.1999999999998,0.2708213919719312,503
2018-03-01,Staten Island,3,5082.8,788.4,630.9,,29.1,,,5,2018,1419.3,0.279235854253561,503
2019-04-01,Staten Island,3,6037.6,716.8,716.2,,21.4,,,5,2019,1433.0,0.2373459652842189,503
2019-02-01,Staten Island,3,4392.4,638.3,586.1,,19.2,,1.0,5,2019,1224.4,0.27875421182041715,503
2019-08-01,Staten Island,3,5757.2,731.6,756.4,,,,,5,2019,1488.0,0.2584589731119294,503
2015-01-01,Brooklyn,11,4372.3,573.3,394.7,,,,16.0,3,2015,968.0,0.22139377444365665,311
2010-01-01,Brooklyn,11,4452.6,763.5,448.0,,,,18.0,3,2010,1211.5,0.27208821811975026,311
2012-01-01,Brooklyn,11,4478.1,680.2,431.0,,,,13.4,3,2012,1111.2,0.24814095263616265,311
2014-08-01,Brooklyn,11,4855.6,618.7,412.4,,,,,3,2014,1031.1,0.21235274734327372,311
2011-06-01,Brooklyn,11,5163.2,704.3,403.5,,,,,3,2011,1107.8,0.2145568639603347,311
2010-04-01,Brooklyn,11,4838.6,681.3,418.5,,,,,3,2010,1099.8,0.2272971520687802,311
